file,location,before,after,replacements
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<div>,The main youth class starts at 5:00 PM in Tannersville. We offer private intro options at 4:00 PM.,The main youth semi-private class starts at 5:00 PM in Tannersville. We offer private intro options at 4:00 PM.,1
/home/twizss/Documents/ssbjjweb/tmb/after-school.html,text<div>,"Yes. Parents can watch the first class, see the room, and ask questions after training.","Yes. Parents can watch the first semi-private class, see the room, and ask questions after training.",1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<p>,"Ankle Lock is a common BJJ term used in class to describe a key position, movement, or concept.","Ankle Lock is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-lock/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/ankle-pick/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/antibully.html,img[alt],Kids BJJ Class,Kids BJJ Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<p>,"Arm Drag is a common BJJ term used in class to describe a key position, movement, or concept.","Arm Drag is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/arm-drag/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<p>,An armbar should be practiced slowly. The goal in class is not to hurt the arm. The goal is to learn control and stop as soon as the partner taps.,An armbar should be practiced slowly. The goal in semi-private class is not to hurt the arm. The goal is to learn control and stop as soon as the partner taps.,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<p>,"Armbar is a common BJJ term used in class to describe a key position, movement, or concept.","Armbar is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/armbar/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/assets/sensei-sandy-goal-mapping-implementation/sensei-sandy-goal-mapping/cta-snippets.html,text<p>,15 minutes • Meet Sandy • Leave with your recommended class and weekly plan,15 minutes • Meet Sandy • Leave with your recommended semi-private class and weekly plan,1
/home/twizss/Documents/ssbjjweb/tmb/assets/sensei-sandy-goal-mapping-implementation/sensei-sandy-goal-mapping/cta-snippets.html,text<p>,"Meet Sandy for 15 minutes to map your goal, weekly schedule, training
      history, and the class lane that fits. You will choose your first class
      after the plan is clear.","Meet Sandy for 15 minutes to map your goal, weekly schedule, training
      history, and the semi-private class lane that fits. You will choose your first semi-private class
      after the plan is clear.",2
/home/twizss/Documents/ssbjjweb/tmb/assets/sensei-sandy-goal-mapping-implementation/sensei-sandy-goal-mapping/cta-snippets.html,text<strong>,3. Choose the first class,3. Choose the first semi-private class,1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<p>,"Back Control is a common BJJ term used in class to describe a key position, movement, or concept.","Back Control is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/back-control/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/back-defense/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<p>,"Back Take is a common BJJ term used in class to describe a key position, movement, or concept.","Back Take is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/back-take/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/backstep-pass/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<p>,"Base is a common BJJ term used in class to describe a key position, movement, or concept.","Base is a common BJJ term used in semi-private class to describe a key position, movement, or concept.",1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/base/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,"Not all classes are built for beginners. A beginner-friendly program focuses on clarity, pace, and safety before intensity.","Not all semi-private classes are built for beginners. A beginner-friendly program focuses on clarity, pace, and safety before intensity.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<h2>,Want to try this in a calm first class?,Want to try this in a calm first semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,"Visit the room, meet Sandy, learn the safety basics, and choose the right class lane.","Visit the room, meet Sandy, learn the safety basics, and choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,"Beginner Lane is the simplest way to explain why the first class feels different here. It means tour first, safety walkthrough, partner matching, and skill-based resistance activities begin at the right pace from day one.","Beginner Lane is the simplest way to explain why the first semi-private class feels different here. It means tour first, safety walkthrough, partner matching, and skill-based resistance activities begin at the right pace from day one.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,The goal is not to test you. The goal is to make the first class feel manageable enough that you can come back and build real momentum.,The goal is not to test you. The goal is to make the first semi-private class feel manageable enough that you can come back and build real momentum.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<h2>,What Your First Class Looks Like,What Your First Semi-Private Class Looks Like,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,Your first class should feel calm and structured.,Your first semi-private class should feel calm and structured.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<h2>,Class Times That Are Easy to Follow,Semi-Private Class Times That Are Easy to Follow,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,Most beginners start with zero experience. Classes are built to bring you up from the ground level instead of expecting you to arrive ready.,Most beginners start with zero experience. Semi-Private Classes are built to bring you up from the ground level instead of expecting you to arrive ready.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,"The biggest difference is how the first few classes feel. If they are clear and manageable, people come back. If the first class feels like chaos, they disappear.","The biggest difference is how the first few semi-private classes feel. If they are clear and manageable, people come back. If the first semi-private class feels like chaos, they disappear.",2
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,No. Most people start later than they expected and do fine when we coach the first classes to be calm and beginner-friendly.,No. Most people start later than they expected and do fine when we coach the first semi-private classes to be calm and beginner-friendly.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<h2>,Best First Class This Week,Best First Semi-Private Class This Week,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<a>,Exactly What Happens First Bjj Class Minute By Minute,Exactly What Happens First Bjj Semi-Private Class Minute By Minute,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<p>,Try This In Class,Try This In Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,text<h2>,Free Intro Class,Free Intro Semi-Private Class,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-friendly-bjj-tannersville-links/index.html,img[alt],Sensei Sandy BJJ beginner-friendly class in Tannersville,Sensei Sandy BJJ beginner-friendly semi-private class in Tannersville,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<p>,"Beginner Lane is the onboarding pace for new students. It keeps class focused on tour, safety walkthrough, simple drills, partner matching, and a complete class expectation.","Beginner Lane is the onboarding pace for new students. It keeps semi-private class focused on tour, safety walkthrough, simple drills, partner matching, and a complete semi-private class expectation.",2
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<h2>,Common class phrases,Common semi-private class phrases,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<p>,"Beginner Lane means new students can learn with clear pacing, partner care, and a complete class expectation.","Beginner Lane means new students can learn with clear pacing, partner care, and a complete semi-private class expectation.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<h2>,Want to feel this in class?,Want to feel this in semi-private class?,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<p>,"Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right class lane.","Start with a guided Free Intro. We’ll show you the room, explain the safety rules, and help you choose the right semi-private class lane.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<a>,View Class Schedule,View Semi-Private Class Schedule,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<p>,"Beginner Lane means the first class is paced around safety, simple movement, partner matching, neutral work, chest-to-chest control, chest-to-back control, and standing engagement when skill level makes it appropriate.","Beginner Lane means the first semi-private class is paced around safety, simple movement, partner matching, neutral work, chest-to-chest control, chest-to-back control, and standing engagement when skill level makes it appropriate.",1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<blockquote>,A calm and structured environment. My kids look forward to every class.,A calm and structured environment. My kids look forward to every semi-private class.,1
/home/twizss/Documents/ssbjjweb/tmb/beginner-lane/index.html,text<blockquote>,Class at Sensei Sandy BJJ has become such a large part of my family's routine.,Semi-Private Class at Sensei Sandy BJJ has become such a large part of my family's routine.,1
/home/twizss/Documents/ssbjjweb/tmb/bio.html,text<h2>,A calm first class path for beginners,A calm first semi-private class path for beginners,1
/home/twizss/Documents/ssbjjweb/tmb/bio.html,text<p>,"Build focus, body awareness, and confidence in a calm class that keeps the first experience positive.","Build focus, body awareness, and confidence in a calm semi-private class that keeps the first experience positive.",1
/home/twizss/Documents/ssbjjweb/tmb/bio.html,text<span>,Your first class is a calm walkthrough with beginner-friendly pacing and clear coaching from start to finish.,Your first semi-private class is a calm walkthrough with beginner-friendly pacing and clear coaching from start to finish.,1
/home/twizss/Documents/ssbjjweb/tmb/bio.html,text<p>,"The result is a first class that feels clear, structured, and welcoming from the first minute.","The result is a first semi-private class that feels clear, structured, and welcoming from the first minute.",1
